Time,Force_Node1_LTD,Force_Node2_LTD,Force_Node3_LTD,Force_Node4_LTD,Force_Node5_LTD,Force_Node6_LTD,Force_Node7_LTD,Force_Node8_LTD,Force_Node9_LTD,Force_Node10_LTD,Force_Node11_LTD,Force_Node12_LTD,Force_Node13_LTD,Force_Node14_LTD,Force_Node15_LTD
3.8,425.6,395.62,354.31,318.95,300.49,278.04,258.64,239.67,200.42,164.46,154.29,91.33,92.02,91.09,90.91
3.9,425.19,395.56,353.51,318.71,300.52,278.36,258.72,239.57,200.42,164.58,154.81,91.78,92.29,91.41,91.08
4,424.5,395.51,353.72,319.16,300.18,278.14,258.7,239.46,200.45,164.29,154.98,91.52,91.98,91.55,91.16
4.1,425.13,396.46,354.16,318.95,299.95,278.35,258.46,239.56,200.38,164.71,155.21,91.64,91.82,90.9,91.75
4.2,425.22,396.23,353.72,319.1,300.72,278.09,258.44,239.45,200.09,164.6,154.35,92,91.95,91.45,91.48
4.3,424.61,395.29,353.63,319,300.24,278.15,258.51,239.58,200.24,164.16,154.88,91.63,92.22,90.86,91.74
4.4,424.71,395.6,353.63,319.02,300.34,277.79,258.47,239.47,200.17,164.4,154.37,91.81,91.87,90.78,90.89
4.5,424.21,395.51,353.53,318.73,300.39,277.91,258.3,239.48,200.44,164.22,154.01,91.82,91.69,90.88,91.74
4.6,424.21,395.79,353.81,318.94,300.39,277.77,258.23,239.57,200.35,164.48,154.48,91.19,92.79,91.26,90.7
4.7,424.53,395.51,353.5,319.11,300.32,278.03,258.85,239.46,200.39,164.68,154.46,91.52,92.04,90.84,91.4
4.8,424.57,395.32,353.35,318.98,300.68,277.78,258.71,239.42,200.18,164.2,154.85,91.89,91.47,91.21,91.33
4.9,424.77,395.07,353.19,318.79,300.19,278.31,258.76,239.49,200.09,164.44,154.63,91.87,91.52,,
5,423.87,394.97,353.38,318.87,300.24,278.07,258.6,239.59,200.26,164.4,154.86,92.09,92.21,,
5.1,423.86,395.88,353.71,318.75,300.48,278.25,258.45,239.63,200.26,164.25,154.63,92.3,91.27,,
