x [mm];y [mm];z-displacement [mm]
-142.911;-255.923;0
-144.447;-255.923;0
-145.982;-255.923;0
-147.518;-255.923;0
-149.053;-255.923;0
-150.589;-255.923;0
-152.124;-255.923;0
-153.66;-255.923;0
-155.195;-255.923;0
-156.731;-255.923;0
-158.266;-255.923;0
-159.802;-255.923;0
-161.337;-255.923;0
-162.873;-255.923;0
-164.408;-255.923;0
-165.944;-255.923;0
-167.479;-255.923;0
-169.015;-255.923;0
-170.55;-255.923;0
-172.086;-255.923;0
-173.621;-255.923;0
-175.157;-255.923;0
-176.692;-255.923;0
-178.228;-255.923;0
-179.763;-255.923;0
-181.299;-255.923;0
-182.834;-255.923;0
-184.37;-255.923;0
-185.905;-255.923;0
-187.441;-255.923;0
-188.976;-255.923;0
-190.512;-255.923;0
-192.047;-255.923;0
-193.583;-255.923;0
-195.118;-255.923;0
-196.654;-255.923;0
-198.189;-255.923;0
-199.725;-255.923;0
-201.26;-255.923;0
-202.796;-255.923;0
-204.331;-255.923;0
-205.867;-255.923;0
-207.402;-255.923;0
-208.938;-255.923;0
-210.473;-255.923;0
-212.009;-255.923;0
-213.544;-255.923;0
-215.08;-255.923;0
-216.615;-255.923;0
-218.151;-255.923;0
-219.686;-255.923;0
-221.222;-255.923;0
-222.757;-255.923;0
-224.293;-255.923;0
-225.828;-255.923;0
-227.364;-255.923;0
-228.899;-255.923;0
-230.435;-255.923;0
-231.97;-255.923;0
-233.506;-255.923;0
-235.041;-255.923;0
-236.577;-255.923;0
-238.112;-255.923;0
-239.648;-255.923;0
-241.183;-255.923;0
-242.719;-255.923;0
-244.254;-255.923;0
-245.79;-255.923;0
-247.325;-255.923;0
-248.861;-255.923;0
-250.396;-255.923;0
-251.932;-255.923;0
-253.467;-255.923;0
-255.003;-255.923;0
-256.538;-255.923;0
-258.074;-255.923;0
-259.609;-255.923;0
-261.145;-255.923;0
-262.68;-255.923;0
-264.216;-255.923;0
-265.751;-255.923;0
-267.287;-255.923;0
-268.822;-255.923;0
-270.358;-255.923;0
-271.893;-255.923;0
-273.429;-255.923;0
-274.964;-255.923;0
-276.5;-255.923;0
-278.035;-255.923;0
-279.571;-255.923;0
-281.106;-255.923;0
-282.642;-255.923;0
-284.177;-255.923;0
-285.713;-255.923;0
-287.248;-255.923;0
-288.784;-255.923;0
-290.319;-255.923;0
-291.855;-255.923;0
277.816;-254.387;0
276.28;-254.387;0
274.745;-254.387;0
273.209;-254.387;0
271.674;-254.387;0
270.138;-254.387;0
268.603;-254.387;0
267.067;-254.387;0
265.532;-254.387;0
263.996;-254.387;0
262.461;-254.387;0
260.925;-254.387;0
259.39;-254.387;0
257.854;-254.387;0
256.319;-254.387;0
254.783;-254.387;0
253.248;-254.387;0
251.712;-254.387;0
250.177;-254.387;0
248.641;-254.387;0
247.106;-254.387;0
245.57;-254.387;0
244.035;-254.387;0
242.499;-254.387;0
240.964;-254.387;0
239.428;-254.387;0
237.893;-254.387;0
236.357;-254.387;0
234.822;-254.387;0
233.286;-254.387;0
231.751;-254.387;0
230.215;-254.387;0
228.68;-254.387;0
227.144;-254.387;0
225.609;-254.387;0
224.073;-254.387;0
222.538;-254.387;0
221.002;-254.387;0
219.467;-254.387;0
217.931;-254.387;0
216.396;-254.387;0
214.86;-254.387;0
213.325;-254.387;0
211.789;-254.387;0
210.254;-254.387;0
208.718;-254.387;0
207.183;-254.387;0
205.647;-254.387;0
204.112;-254.387;0
202.576;-254.387;0
201.041;-254.387;0
199.505;-254.387;0
197.97;-254.387;0
196.434;-254.387;0
194.899;-254.387;0
193.363;-254.387;0
191.828;-254.387;0
190.292;-254.387;0
188.757;-254.387;0
187.221;-254.387;0
185.686;-254.387;0
184.15;-254.387;0
182.615;-254.387;0
181.079;-254.387;0
179.544;-254.387;0
178.008;-254.387;0
176.473;-254.387;0
174.937;-254.387;0
173.402;-254.387;0
171.866;-254.387;0
170.331;-254.387;0
168.795;-254.387;0
167.26;-254.387;0
165.724;-254.387;0
164.189;-254.387;0
162.653;-254.387;0
161.118;-254.387;0
159.582;-254.387;0
158.047;-254.387;0
156.511;-254.387;0
154.976;-254.387;0
153.44;-254.387;0
151.905;-254.387;0
150.369;-254.387;0
148.834;-254.387;0
147.298;-254.387;0
145.763;-254.387;0
144.227;-254.387;0
142.692;-254.387;0
141.156;-254.387;0
139.621;-254.387;0
138.085;-254.387;0
136.55;-254.387;0
135.014;-254.387;0
133.479;-254.387;0
131.943;-254.387;0
130.408;-254.387;0
128.872;-254.387;0
127.337;-254.387;0
125.801;-254.387;0
124.266;-254.387;0
122.73;-254.387;0
121.195;-254.387;0
119.659;-254.387;0
118.124;-254.387;0
116.588;-254.387;0
115.053;-254.387;0
113.517;-254.387;0
111.982;-254.387;0
110.446;-254.387;0
108.911;-254.387;0
107.375;-254.387;0
105.84;-254.387;0
104.304;-254.387;0
102.769;-254.387;0
101.233;-254.387;0
99.698;-254.387;0
98.1625;-254.387;0
96.627;-254.387;0
95.0915;-254.387;0
93.556;-254.387;0
92.0205;-254.387;0
90.485;-254.387;0
88.9495;-254.387;0
87.414;-254.387;0
85.8785;-254.387;0
84.343;-254.387;0
82.8075;-254.387;0
81.272;-254.387;0
79.7365;-254.387;0
78.201;-254.387;0
76.6655;-254.387;0
75.13;-254.387;0
73.5945;-254.387;0
72.059;-254.387;0
70.5235;-254.387;0
68.988;-254.387;0
67.4525;-254.387;0
65.917;-254.387;0
64.3815;-254.387;0
62.846;-254.387;0
61.3105;-254.387;0
59.775;-254.387;0
58.2395;-254.387;0
56.704;-254.387;0
55.1685;-254.387;0
53.633;-254.387;0
52.0975;-254.387;0
50.562;-254.387;0
49.0265;-254.387;0
47.491;-254.387;0
45.9555;-254.387;0
44.42;-254.387;0
42.8845;-254.387;0
41.349;-254.387;0
39.8135;-254.387;0
38.278;-254.387;0
36.7425;-254.387;0
35.207;-254.387;0
33.6715;-254.387;0
32.136;-254.387;0
30.6005;-254.387;0
29.065;-254.387;0
27.5295;-254.387;0
25.994;-254.387;0
24.4585;-254.387;0
22.923;-254.387;0
21.3875;-254.387;0
19.852;-254.387;0
18.3165;-254.387;0
16.781;-254.387;0
15.2455;-254.387;0
13.71;-254.387;0
12.1745;-254.387;0
10.639;-254.387;0
9.1035;-254.387;0
7.568;-254.387;0
6.0325;-254.387;0
4.497;-254.387;0
2.9615;-254.387;0
1.426;-254.387;0
-0.1095;-254.387;0
-1.645;-254.387;0
-3.1805;-254.387;0
-4.716;-254.387;0
-6.2515;-254.387;0
-7.787;-254.387;0
-9.3225;-254.387;0
-10.858;-254.387;0
-12.3935;-254.387;0
-13.929;-254.387;0
-15.4645;-254.387;0
-17;-254.387;0
-18.5355;-254.387;0
-20.071;-254.387;0
-21.6065;-254.387;0
-23.142;-254.387;0
-24.6775;-254.387;0
-26.213;-254.387;0
-27.7485;-254.387;0
-29.284;-254.387;0
-30.8195;-254.387;0
-32.355;-254.387;0
-33.8905;-254.387;0
-35.426;-254.387;0
-36.9615;-254.387;0
-38.497;-254.387;0
-40.0325;-254.387;0
-41.568;-254.387;0
-43.1035;-254.387;0
-44.639;-254.387;0
-46.1745;-254.387;0
-47.71;-254.387;0
-49.2455;-254.387;0
-50.781;-254.387;0
-52.3165;-254.387;0
-53.852;-254.387;0
-55.3875;-254.387;0
-56.923;-254.387;0
-58.4585;-254.387;0
-59.994;-254.387;0
-61.5295;-254.387;0
-63.065;-254.387;0
-64.6005;-254.387;0
-66.136;-254.387;0
-67.6715;-254.387;0
-69.207;-254.387;0
-70.7425;-254.387;0
-72.278;-254.387;0
-73.8135;-254.387;0
-75.349;-254.387;0
-76.8845;-254.387;0
-78.42;-254.387;0
-79.9555;-254.387;0
-81.491;-254.387;0
-83.0265;-254.387;0
-84.562;-254.387;0
-86.0975;-254.387;0
-87.633;-254.387;0
-89.1685;-254.387;0
-90.704;-254.387;0
-92.2395;-254.387;0
-93.775;-254.387;0
-95.3105;-254.387;0
-96.846;-254.387;0
-98.3815;-254.387;0
-99.917;-254.387;0
-101.453;-254.387;0
-102.988;-254.387;0
-104.524;-254.387;0
-106.059;-254.387;0
-107.595;-254.387;0
-109.13;-254.387;0
-110.666;-254.387;0
-112.201;-254.387;0
-113.737;-254.387;0
-115.272;-254.387;0
-116.808;-254.387;0
-118.343;-254.387;0
-119.879;-254.387;0
-121.414;-254.387;0
-122.95;-254.387;0
-124.485;-254.387;0
-126.021;-254.387;0
-127.556;-254.387;0
-129.092;-254.387;0
-130.627;-254.387;0
-132.163;-254.387;0
-133.698;-254.387;0
-135.234;-254.387;0
-136.769;-254.387;0
-138.305;-254.387;0
-139.84;-254.387;0
-141.376;-254.387;0
-142.911;-254.387;0
-144.447;-254.387;0
-145.982;-254.387;0
-147.518;-254.387;0
-149.053;-254.387;0
-150.589;-254.387;0
-152.124;-254.387;0
-153.66;-254.387;0
-155.195;-254.387;0
-156.731;-254.387;0
-158.266;-254.387;0
-159.802;-254.387;0
-161.337;-254.387;0
-162.873;-254.387;0
-164.408;-254.387;0
-165.944;-254.387;0
-167.479;-254.387;0
-169.015;-254.387;0
-170.55;-254.387;0
-172.086;-254.387;0
-173.621;-254.387;0
-175.157;-254.387;0
-176.692;-254.387;0
-178.228;-254.387;0
-179.763;-254.387;0
-181.299;-254.387;0
-182.834;-254.387;0
-184.37;-254.387;0
-185.905;-254.387;0
-187.441;-254.387;0
-188.976;-254.387;0
-190.512;-254.387;0
-192.047;-254.387;0
-193.583;-254.387;0
-195.118;-254.387;0
-196.654;-254.387;0
-198.189;-254.387;0
-199.725;-254.387;0
-201.26;-254.387;0
-202.796;-254.387;0
-204.331;-254.387;0
-205.867;-254.387;0
-207.402;-254.387;0
-208.938;-254.387;0
-210.473;-254.387;0
-212.009;-254.387;0
-213.544;-254.387;0
-215.08;-254.387;0
-216.615;-254.387;0
-218.151;-254.387;0
-219.686;-254.387;0
-221.222;-254.387;0
-222.757;-254.387;0
-224.293;-254.387;0
-225.828;-254.387;0
-227.364;-254.387;0
-228.899;-254.387;0
-230.435;-254.387;0
-231.97;-254.387;0
-233.506;-254.387;0
-235.041;-254.387;0
-236.577;-254.387;0
-238.112;-254.387;0
-239.648;-254.387;0
-241.183;-254.387;0
-242.719;-254.387;0
-244.254;-254.387;0
-245.79;-254.387;0
-247.325;-254.387;0
-248.861;-254.387;0
-250.396;-254.387;0
-251.932;-254.387;0
-253.467;-254.387;0
-255.003;-254.387;0
-256.538;-254.387;0
-258.074;-254.387;0
-259.609;-254.387;0
-261.145;-254.387;0
-262.68;-254.387;0
-264.216;-254.387;0
-265.751;-254.387;0
-267.287;-254.387;0
-268.822;-254.387;0
-270.358;-254.387;0
-271.893;-254.387;0
-273.429;-254.387;0
-274.964;-254.387;0
-276.5;-254.387;0
-278.035;-254.387;0
-279.571;-254.387;0
-281.106;-254.387;0
-282.642;-254.387;0
-284.177;-254.387;0
-285.713;-254.387;0
-287.248;-254.387;0
-288.784;-254.387;0
-290.319;-254.387;0
-291.855;-254.387;0
277.816;-252.852;0
276.28;-252.852;0
274.745;-252.852;0
273.209;-252.852;0
271.674;-252.852;0
270.138;-252.852;0
268.603;-252.852;0
267.067;-252.852;0
265.532;-252.852;0
263.996;-252.852;0
262.461;-252.852;0
260.925;-252.852;0
259.39;-252.852;0
257.854;-252.852;0
256.319;-252.852;0
254.783;-252.852;0
253.248;-252.852;0
251.712;-252.852;0
250.177;-252.852;0
248.641;-252.852;0
247.106;-252.852;0
245.57;-252.852;0
244.035;-252.852;0
242.499;-252.852;0
240.964;-252.852;0
239.428;-252.852;0
237.893;-252.852;0
236.357;-252.852;0
234.822;-252.852;0
233.286;-252.852;0
231.751;-252.852;0
230.215;-252.852;0
228.68;-252.852;0
227.144;-252.852;0
225.609;-252.852;0
224.073;-252.852;0
222.538;-252.852;0
221.002;-252.852;0
219.467;-252.852;0
217.931;-252.852;0
216.396;-252.852;0
214.86;-252.852;0
213.325;-252.852;0
211.789;-252.852;0
210.254;-252.852;0
208.718;-252.852;0
207.183;-252.852;0
205.647;-252.852;0
204.112;-252.852;0
202.576;-252.852;0
201.041;-252.852;0
199.505;-252.852;0
197.97;-252.852;0
196.434;-252.852;0
194.899;-252.852;0
193.363;-252.852;0
191.828;-252.852;0
190.292;-252.852;0
188.757;-252.852;0
187.221;-252.852;0
185.686;-252.852;0
184.15;-252.852;0
182.615;-252.852;0
181.079;-252.852;0
179.544;-252.852;0
178.008;-252.852;0
176.473;-252.852;0
174.937;-252.852;0
173.402;-252.852;0
171.866;-252.852;0
170.331;-252.852;0
168.795;-252.852;0
167.26;-252.852;0
165.724;-252.852;0
164.189;-252.852;0
162.653;-252.852;0
161.118;-252.852;0
159.582;-252.852;0
158.047;-252.852;0
156.511;-252.852;0
154.976;-252.852;0
153.44;-252.852;0
151.905;-252.852;0
150.369;-252.852;0
148.834;-252.852;0
147.298;-252.852;0
145.763;-252.852;0
144.227;-252.852;0
142.692;-252.852;0
141.156;-252.852;0
139.621;-252.852;0
138.085;-252.852;0
136.55;-252.852;0
135.014;-252.852;0
133.479;-252.852;0
131.943;-252.852;0
130.408;-252.852;0
128.872;-252.852;0
127.337;-252.852;0
125.801;-252.852;0
124.266;-252.852;0
122.73;-252.852;0
121.195;-252.852;0
119.659;-252.852;0
118.124;-252.852;0
116.588;-252.852;0
115.053;-252.852;0
113.517;-252.852;0
111.982;-252.852;0
110.446;-252.852;0
108.911;-252.852;0
107.375;-252.852;0
105.84;-252.852;0
104.304;-252.852;0
102.769;-252.852;0
101.233;-252.852;0
99.698;-252.852;0
98.1625;-252.852;0
96.627;-252.852;0
95.0915;-252.852;0
93.556;-252.852;0
92.0205;-252.852;0
90.485;-252.852;0
88.9495;-252.852;0
87.414;-252.852;0
85.8785;-252.852;0
84.343;-252.852;0
82.8075;-252.852;0
81.272;-252.852;0
79.7365;-252.852;0
